date,latitude,longitude,rainfall_1h,rainfall_3h,rainfall_24h,soil_moisture,temperature,humidity,elevation,slope,aspect,land_cover,historical_landslide_density,landslide
2023-01-09 12:00:00,22.47863,93.0939,39.67,56.23,314.69,99.0,19.51,71.76,1207.96,20.11,251.3,Forest,0.2879,1
2023-01-10 00:00:00,28.20723,93.90702,38.09,96.69,143.28,57.51,29.28,70.79,1997.41,24.01,300.01,Forest,0.3222,1
2023-01-10 12:00:00,26.73748,90.59528,83.63,177.72,256.69,91.4,20.15,100.0,1887.36,44.13,283.0,Forest,0.6379,1
2023-01-11 00:00:00,27.68566,88.47994,28.74,111.83,185.82,36.11,22.06,58.32,1852.73,19.68,351.74,Forest,0.2213,0
2023-01-11 12:00:00,24.65894,93.64839,70.02,114.51,200.13,45.84,17.94,83.26,1396.84,19.34,229.27,Forest,0.4629,1
2023-01-12 00:00:00,29.28024,90.80017,23.31,29.3,275.23,75.23,27.16,82.24,873.0,4.51,115.64,Forest,0.8383,0
2023-01-12 12:00:00,28.69841,94.3044,43.42,68.76,182.8,84.89,27.23,83.91,1598.63,24.49,179.25,Agriculture,0.3568,1
2023-01-13 00:00:00,27.83788,95.94433,25.22,64.89,115.72,41.88,26.69,94.4,1630.43,32.88,293.87,Forest,0.4944,1
2023-01-13 12:00:00,23.45979,88.17253,37.21,49.45,246.34,62.95,25.69,95.17,976.09,35.03,95.52,Agriculture,0.293,1
2023-01-14 00:00:00,25.50041,93.65928,29.02,39.19,167.41,33.85,23.37,70.38,871.69,26.3,83.31,Shrubland,0.3805,1
2023-01-14 12:00:00,22.32853,90.19717,16.84,128.7,180.36,56.4,20.38,80.54,1836.65,36.47,260.94,Agriculture,0.3764,1
2023-01-15 00:00:00,23.15717,96.30194,38.18,114.69,291.73,79.32,18.93,52.87,2181.68,33.77,159.99,Built-up,0.1881,1
2023-01-15 12:00:00,27.12287,90.40981,45.52,107.4,128.99,54.76,29.45,79.13,612.89,38.36,293.97,Forest,0.431,1
2023-01-16 00:00:00,27.58572,93.80232,51.41,121.88,149.78,59.19,26.82,66.84,928.81,36.81,51.73,Forest,0.3921,1
2023-01-16 12:00:00,29.25632,93.25864,34.7,49.15,64.03,39.57,19.53,74.37,1328.11,43.84,120.85,Agriculture,0.1401,1
2023-01-17 00:00:00,24.44369,91.76358,1.84,21.61,29.89,45.25,23.2,53.67,1416.29,22.96,96.52,Forest,0.6498,1
2023-01-17 12:00:00,24.77845,94.4374,39.59,90.16,258.74,97.91,21.5,85.56,760.46,9.08,251.23,Forest,0.1106,1
2023-01-18 00:00:00,25.52167,94.89481,9.64,63.16,149.59,60.62,17.36,54.28,2324.29,32.96,273.36,Forest,0.2789,1
2023-01-18 12:00:00,23.42104,93.38591,33.52,45.04,61.52,41.98,23.89,79.17,1374.36,34.37,164.16,Agriculture,0.3522,1
2023-01-19 00:00:00,22.97441,95.20501,37.07,85.03,157.54,56.15,20.92,60.64,1445.4,43.84,172.09,Forest,0.3976,1
2023-01-19 12:00:00,25.56779,97.34246,4.84,45.08,185.66,26.63,18.24,64.44,2243.27,40.38,47.53,Shrubland,0.0809,1
2023-01-20 00:00:00,23.70182,91.98309,30.19,111.47,151.26,41.34,15.6,93.23,808.11,48.35,252.66,Forest,0.2189,1
2023-01-20 12:00:00,27.0236,92.88854,7.16,60.86,118.7,86.07,15.18,87.53,1042.52,32.44,357.23,Agriculture,0.4292,1
2023-01-21 00:00:00,25.27864,88.11846,1.6,122.06,388.57,55.34,21.14,93.86,285.34,27.75,280.05,Forest,0.3681,1
2023-01-21 12:00:00,28.24509,95.56227,6.97,38.67,100.84,96.65,22.57,100.0,987.97,8.38,80.32,Agriculture,0.4033,1
2023-01-22 00:00:00,27.25199,92.94219,27.32,42.74,60.74,59.37,18.62,67.15,132.2,28.7,224.32,Agriculture,0.7663,1
2023-01-22 12:00:00,24.34275,91.87563,26.04,144.38,192.66,60.4,26.25,99.01,1586.1,18.37,106.18,Forest,0.3997,1
2023-01-23 00:00:00,28.24195,88.89368,19.7,75.47,90.71,73.18,22.67,58.14,1373.0,27.54,10.86,Forest,0.3089,1
2023-01-23 12:00:00,28.03573,96.45174,44.27,84.69,205.44,9.86,25.88,85.94,919.9,25.65,64.74,Agriculture,0.2911,0
2023-01-24 00:00:00,24.90609,91.75257,24.83,45.27,80.22,65.08,22.09,71.35,1034.72,30.66,36.93,Agriculture,0.3104,1
2023-01-24 12:00:00,24.16246,94.48453,39.96,71.96,105.91,61.82,19.06,65.07,1594.95,23.83,70.54,Forest,0.4638,1
2023-01-25 00:00:00,27.11872,89.41905,51.08,81.72,364.28,93.85,23.57,88.3,361.73,36.22,286.42,Forest,0.3978,1
2023-01-25 12:00:00,23.04814,97.13472,126.68,141.45,166.45,92.49,16.69,92.85,1232.71,2.0,105.42,Forest,0.7958,1
2023-01-26 00:00:00,23.49931,89.6952,27.68,31.61,52.3,38.65,25.7,89.75,1554.68,27.28,272.53,Forest,0.3343,0
2023-01-26 12:00:00,22.05522,89.89565,67.08,97.13,126.44,90.89,18.31,82.55,80.0,39.43,341.59,Forest,0.8878,1
2023-01-27 00:00:00,27.90193,96.16034,35.51,107.23,250.9,57.02,27.59,79.7,1545.21,47.44,206.74,Forest,0.4099,1
2023-01-27 12:00:00,26.98638,96.66954,37.04,136.58,246.25,44.36,21.31,84.59,80.0,33.78,174.75,Forest,0.2231,1
2023-01-28 00:00:00,27.28874,90.0154,27.97,111.43,159.17,65.3,28.31,82.52,1023.56,45.22,270.05,Agriculture,0.1425,1
2023-01-28 12:00:00,27.85547,92.46311,33.25,120.04,164.14,57.93,17.39,85.48,343.8,27.03,34.95,Agriculture,0.4016,1
2023-01-29 00:00:00,25.44187,94.9682,25.02,41.53,145.2,91.77,19.61,82.44,2030.31,25.03,154.16,Agriculture,0.1927,1
2023-01-29 12:00:00,26.26556,96.34447,59.33,110.61,199.52,71.93,24.9,90.4,347.87,31.35,179.58,Shrubland,0.5412,1
2023-01-30 00:00:00,23.04848,91.601,16.09,78.32,143.77,64.04,28.85,55.42,80.0,24.96,299.18,Shrubland,0.1459,1
2023-01-30 12:00:00,22.85898,92.91169,6.89,71.96,184.38,76.84,31.33,77.0,1186.68,15.61,293.12,Forest,0.1658,1
2023-01-31 00:00:00,27.01302,95.04631,19.16,58.89,86.35,82.16,23.21,59.73,831.09,18.82,305.38,Agriculture,0.1117,0
2023-01-31 12:00:00,25.53322,94.94579,17.46,64.21,99.7,75.77,32.19,82.66,122.01,11.65,251.23,Forest,0.6403,1
2023-02-01 00:00:00,26.23927,95.43812,19.15,100.92,217.59,88.69,21.55,100.0,1441.78,31.34,191.0,Shrubland,0.0998,1
2023-02-01 12:00:00,27.73749,93.41437,26.83,87.47,181.83,73.39,28.49,72.03,80.0,25.14,298.04,Built-up,0.4735,1
2023-02-02 00:00:00,26.76039,88.99384,19.21,87.98,164.49,63.66,18.29,79.96,426.44,20.68,314.38,Agriculture,0.4427,1
2023-02-02 12:00:00,26.15185,96.58775,26.53,55.45,331.42,85.97,25.1,89.89,726.11,18.2,172.97,Forest,0.6712,0
2023-02-03 00:00:00,26.19405,96.22294,19.26,85.52,216.0,58.49,11.29,48.98,1621.44,31.06,354.84,Agriculture,0.5408,1
2023-02-03 12:00:00,24.27963,95.58193,40.58,86.87,135.84,63.53,17.39,70.87,1942.05,34.37,314.93,Forest,0.2998,1
2023-02-04 00:00:00,22.23113,88.94869,125.93,202.12,240.49,99.0,25.33,85.05,1816.81,11.43,183.77,Forest,0.4725,1
2023-02-04 12:00:00,25.27538,89.94177,34.99,58.55,156.26,94.64,16.44,39.17,1000.37,9.55,24.94,Forest,0.527,1
2023-02-05 00:00:00,23.60939,95.0642,19.93,91.9,260.13,60.23,25.13,64.34,80.0,36.45,80.82,Forest,0.6492,1
2023-02-05 12:00:00,25.06396,88.21983,1.91,34.27,46.99,49.16,27.53,92.87,1354.05,8.5,279.5,Agriculture,0.0555,0
2023-02-06 00:00:00,28.40052,97.30263,99.5,171.7,264.25,99.0,20.49,93.99,2055.87,31.57,40.02,Forest,0.2085,1
2023-02-06 12:00:00,23.75455,91.58287,36.45,87.97,145.02,78.38,18.16,84.16,1901.96,44.4,169.13,Forest,0.2873,1
2023-02-07 00:00:00,22.43727,94.83347,26.35,70.12,156.53,67.47,20.63,90.72,1400.92,44.43,217.75,Built-up,0.2798,1
2023-02-07 12:00:00,24.11038,96.43193,2.1,35.89,55.06,51.82,18.17,80.6,326.82,33.85,316.2,Shrubland,0.6458,1
2023-02-08 00:00:00,24.20195,91.74898,27.45,68.0,236.15,67.93,22.49,86.17,758.55,33.51,304.96,Forest,0.4768,1
2023-02-08 12:00:00,26.96437,91.03176,33.04,63.15,262.92,61.53,23.51,73.66,2356.98,52.02,275.14,Shrubland,0.2781,1
2023-02-09 00:00:00,26.17774,93.78304,19.32,52.55,174.69,47.03,21.47,78.97,179.13,2.0,146.77,Shrubland,0.3798,0
2023-02-09 12:00:00,27.87924,93.5194,8.41,67.89,295.15,61.59,31.37,69.23,353.9,19.43,51.21,Shrubland,0.4184,1
2023-02-10 00:00:00,26.98235,91.88683,7.83,15.95,70.69,64.25,19.4,95.9,1712.66,35.18,241.07,Shrubland,0.3358,1
2023-02-10 12:00:00,25.0479,93.71686,100.54,172.06,262.99,62.56,29.96,99.43,819.75,20.95,65.26,Agriculture,0.4937,1
2023-02-11 00:00:00,28.10515,96.88612,32.33,104.68,228.11,79.96,17.79,98.32,331.86,39.88,202.07,Forest,0.2872,1
2023-02-11 12:00:00,23.2523,92.44258,19.31,53.91,152.57,86.09,23.36,73.59,2093.18,24.53,353.04,Shrubland,0.4889,1
2023-02-12 00:00:00,22.17034,89.86905,30.88,78.55,139.21,81.1,28.92,65.7,1399.69,26.58,198.11,Forest,0.1598,1
2023-02-12 12:00:00,22.67536,91.58346,29.29,47.81,113.83,55.99,28.66,95.68,851.83,21.7,232.4,Agriculture,0.2093,1
2023-02-13 00:00:00,27.4177,91.74402,7.42,64.18,251.85,74.01,20.9,86.32,355.25,18.73,243.93,Forest,0.8253,1
2023-02-13 12:00:00,25.46408,89.24553,56.67,77.37,150.91,66.36,25.78,82.92,2430.81,18.43,298.94,Forest,0.5788,1
2023-02-14 00:00:00,23.20954,89.54728,25.81,26.95,188.61,36.38,25.11,67.95,1084.11,28.25,156.59,Built-up,0.5662,1
2023-02-14 12:00:00,25.75784,94.50334,32.66,129.65,200.24,75.37,20.3,84.73,2008.26,15.71,179.1,Shrubland,0.415,1
2023-02-15 00:00:00,23.14234,91.22504,79.09,95.76,256.75,70.41,26.08,63.33,1680.86,36.44,63.35,Forest,0.5346,1
2023-02-15 12:00:00,27.2224,97.07153,8.68,48.56,128.31,99.0,32.31,88.83,761.41,32.84,221.28,Forest,0.6311,1
2023-02-16 00:00:00,25.34617,90.31417,15.36,64.38,180.6,88.99,25.36,98.75,766.59,38.19,106.47,Forest,0.3744,1
2023-02-16 12:00:00,24.85766,88.93978,37.9,97.29,139.98,76.77,25.83,100.0,2040.1,11.45,182.74,Built-up,0.2031,1
2023-02-17 00:00:00,24.26134,95.15829,55.9,98.54,189.32,69.69,26.36,88.4,2050.64,4.61,275.96,Forest,0.2618,1
2023-02-17 12:00:00,26.72712,96.36984,17.79,70.03,113.27,63.41,15.7,58.82,80.0,24.95,6.33,Forest,0.5379,1
2023-02-18 00:00:00,24.71359,90.64208,18.68,52.64,106.28,40.17,25.3,79.77,1457.36,55.0,203.01,Shrubland,0.0851,1
2023-02-18 12:00:00,22.65737,89.91984,47.11,56.98,114.27,28.87,17.92,100.0,1021.21,40.19,62.44,Forest,0.5014,1
2023-02-19 00:00:00,22.88504,89.76478,119.57,160.97,226.09,54.9,20.05,65.58,428.34,18.35,100.58,Forest,0.6819,1
2023-02-19 12:00:00,29.21423,92.95912,31.67,96.94,245.33,60.85,33.81,77.21,1270.13,30.09,12.5,Agriculture,0.1758,1
2023-02-20 00:00:00,28.81436,92.44996,15.32,32.95,84.89,17.73,21.73,95.68,222.76,33.73,61.01,Forest,0.2983,1
2023-02-20 12:00:00,27.2478,90.46468,11.53,60.92,144.86,48.5,19.3,86.06,796.8,8.58,355.19,Agriculture,0.4028,1
2023-02-21 00:00:00,23.99402,88.42914,26.77,163.22,324.57,56.26,28.76,100.0,580.99,41.44,359.47,Agriculture,0.1224,1
2023-02-21 12:00:00,29.26882,92.57417,54.13,93.47,207.97,60.19,18.26,67.75,775.14,22.99,259.15,Forest,0.4219,1
2023-02-22 00:00:00,27.84063,97.11366,154.1,195.02,208.05,63.26,20.76,64.31,1053.54,23.91,220.27,Agriculture,0.4212,1
2023-02-22 12:00:00,27.37668,94.19893,23.34,32.34,50.96,53.97,29.25,94.84,439.88,25.29,279.72,Agriculture,0.2827,0
2023-02-23 00:00:00,25.37021,92.70731,31.7,47.44,147.45,96.28,23.21,63.07,2122.57,38.73,322.76,Shrubland,0.4475,1
2023-02-23 12:00:00,24.04181,89.05157,89.67,110.58,160.36,82.0,15.19,76.35,1420.63,15.94,186.95,Shrubland,0.5666,1
2023-02-24 00:00:00,22.72293,90.39814,37.44,100.93,116.9,51.29,25.72,76.65,2266.47,4.52,12.7,Forest,0.2268,1
2023-02-24 12:00:00,28.76952,90.80035,35.17,53.94,100.72,60.85,21.02,92.55,995.95,28.88,255.38,Forest,0.542,1
2023-02-25 00:00:00,25.41832,95.26563,78.43,134.34,237.11,66.85,30.7,86.94,743.29,2.0,354.46,Agriculture,0.2595,1
2023-02-25 12:00:00,23.51773,96.32875,32.27,54.9,111.68,46.51,19.97,83.72,2242.97,21.39,92.9,Forest,0.4441,1
2023-02-26 00:00:00,24.29467,96.5656,12.46,21.85,99.78,44.11,28.26,71.57,724.26,39.24,166.85,Forest,0.2289,1
2023-02-26 12:00:00,26.34415,97.3534,67.93,136.96,197.95,86.36,31.88,96.33,984.11,31.95,130.06,Shrubland,0.3781,1
2023-02-27 00:00:00,23.3258,97.33248,6.13,37.05,78.42,50.34,18.75,100.0,1568.03,37.51,140.57,Forest,0.3129,1
2023-02-27 12:00:00,28.42461,97.05349,60.33,120.03,209.51,43.35,22.03,86.85,295.48,32.44,259.7,Agriculture,0.3527,1
2023-02-28 00:00:00,27.6889,88.68231,29.82,38.86,53.01,60.72,24.94,79.43,1562.34,53.92,136.23,Agriculture,0.2748,1
2023-02-28 12:00:00,27.39597,89.30904,23.54,26.93,63.83,63.18,18.71,59.99,1479.18,17.94,338.79,Agriculture,0.368,1
2023-03-01 00:00:00,25.2407,90.89243,23.05,69.03,199.17,21.31,24.35,67.14,1925.06,29.78,284.28,Forest,0.638,1
2023-03-01 12:00:00,26.70482,93.25253,26.69,41.89,61.14,60.39,21.88,75.03,1678.53,19.74,9.95,Forest,0.5982,1
2023-03-02 00:00:00,26.38073,88.92129,20.84,66.33,141.3,77.86,21.77,71.41,1944.99,36.48,294.68,Agriculture,0.4755,1
2023-03-02 12:00:00,26.87385,96.03507,41.5,87.73,140.92,72.0,23.24,78.38,1028.23,24.26,278.23,Forest,0.3841,1
2023-03-03 00:00:00,22.63333,93.85918,21.45,63.38,112.46,99.0,23.36,100.0,539.26,45.63,185.94,Agriculture,0.294,1
2023-03-03 12:00:00,25.11856,93.15246,29.99,116.31,255.23,86.62,23.82,96.79,2471.49,18.63,178.85,Shrubland,0.06,1
2023-03-04 00:00:00,22.31211,89.57046,3.54,58.74,216.9,87.4,20.01,77.15,107.65,41.89,300.79,Forest,0.3382,1
2023-03-04 12:00:00,25.70493,90.40593,29.83,166.19,195.44,99.0,20.22,63.03,172.77,32.12,152.92,Forest,0.5708,1
2023-03-05 00:00:00,24.47396,89.52296,20.49,52.1,117.64,75.62,22.41,97.5,1467.33,24.61,57.41,Agriculture,0.6125,1
2023-03-05 12:00:00,23.08393,96.09336,57.31,69.83,79.95,68.14,22.78,77.72,2156.24,31.51,112.64,Forest,0.6005,1
2023-03-06 00:00:00,22.77552,93.55016,24.34,48.32,181.81,80.4,20.81,54.85,1223.21,28.14,95.47,Agriculture,0.0844,1
2023-03-06 12:00:00,26.40733,94.98373,51.66,84.81,156.79,53.01,24.62,87.62,1749.55,29.27,245.18,Shrubland,0.1218,1
2023-03-07 00:00:00,23.27945,90.81231,47.61,191.58,209.47,65.87,13.93,92.65,80.0,22.52,64.39,Forest,0.3236,1
2023-03-07 12:00:00,28.9384,91.5269,48.54,92.31,130.83,50.87,19.35,43.58,775.3,16.58,232.12,Agriculture,0.6985,1
2023-03-08 00:00:00,26.35796,91.84612,25.04,113.57,140.38,68.96,21.6,66.9,80.0,20.98,167.75,Forest,0.163,1
2023-03-08 12:00:00,24.60152,95.22014,31.35,60.85,97.43,48.72,18.72,75.89,1607.27,4.8,302.28,Forest,0.4933,0
2023-03-09 00:00:00,26.43187,95.33735,40.7,67.3,78.66,49.15,31.15,87.74,94.3,35.1,174.6,Built-up,0.299,1
2023-03-09 12:00:00,22.17103,89.96473,32.09,40.72,227.04,70.12,23.09,71.29,269.42,10.18,334.73,Agriculture,0.358,1
2023-03-10 00:00:00,29.18919,96.94462,24.38,165.32,195.64,58.17,23.88,66.26,1434.12,22.39,324.17,Shrubland,0.3927,1
2023-03-10 12:00:00,25.61728,89.14623,13.56,122.45,197.28,21.08,20.58,86.23,1790.19,32.78,66.7,Agriculture,0.1266,1
2023-03-11 00:00:00,27.87051,96.51316,30.26,80.02,182.11,32.52,22.92,70.07,996.67,35.07,247.02,Shrubland,0.1834,1
2023-03-11 12:00:00,22.62047,88.95376,6.92,41.66,199.97,35.89,16.92,84.38,1470.61,3.7,77.26,Forest,0.4638,1
2023-03-12 00:00:00,25.64994,90.51313,3.19,48.23,125.06,40.72,22.15,61.47,1449.56,23.9,296.39,Forest,0.3821,0
2023-03-12 12:00:00,25.6803,96.04155,10.79,22.8,83.04,67.58,18.31,59.45,959.97,30.52,228.86,Forest,0.5485,1
2023-03-13 00:00:00,29.0337,89.70517,48.14,107.77,187.08,68.16,21.61,88.98,388.44,25.62,105.88,Forest,0.3396,1
2023-03-13 12:00:00,26.28796,91.9289,35.7,138.62,167.72,83.59,10.2,82.71,1467.18,41.13,89.68,Shrubland,0.6902,1
2023-03-14 00:00:00,25.55117,92.27366,48.49,154.9,186.28,78.87,17.36,91.86,1498.51,15.14,154.65,Agriculture,0.3025,1
2023-03-14 12:00:00,24.00232,90.32996,16.62,25.67,84.79,81.43,30.32,71.62,1681.12,2.0,288.26,Forest,0.5913,1
2023-03-15 00:00:00,24.48677,94.74733,61.38,149.35,156.31,77.53,27.15,67.75,1302.84,34.72,286.62,Shrubland,0.1599,1
2023-03-15 12:00:00,25.90504,96.08768,7.84,19.93,62.07,63.13,29.6,97.21,340.48,18.55,12.02,Agriculture,0.2038,0
2023-03-16 00:00:00,25.29184,96.30846,11.2,14.94,65.45,81.33,29.94,57.75,1548.72,3.9,108.82,Built-up,0.4422,0
2023-03-16 12:00:00,22.16209,91.22356,60.65,150.89,401.06,83.67,26.36,96.7,1099.1,23.1,152.23,Forest,0.3623,1
2023-03-17 00:00:00,28.19719,93.04308,33.8,61.35,233.8,69.58,20.74,96.97,786.22,39.77,210.81,Built-up,0.3465,1
2023-03-17 12:00:00,28.72121,90.35986,48.69,130.4,232.21,89.26,17.81,91.5,908.49,9.84,53.83,Agriculture,0.8778,1
2023-03-18 00:00:00,23.05187,90.32557,35.81,112.55,248.38,15.38,28.73,66.14,651.33,53.03,120.7,Forest,0.4873,1
2023-03-18 12:00:00,26.15527,89.53191,18.75,88.83,119.95,54.44,23.32,66.29,1677.75,14.95,318.81,Forest,0.3731,1
2023-03-19 00:00:00,22.81432,96.93018,9.92,54.55,135.49,53.08,35.47,74.71,178.23,26.04,171.56,Forest,0.5651,1
2023-03-19 12:00:00,27.0418,96.43589,4.41,17.92,142.22,81.58,21.17,60.95,454.23,10.37,267.89,Agriculture,0.4152,1
2023-03-20 00:00:00,24.10925,95.38491,94.73,127.94,159.33,99.0,32.86,66.49,886.3,25.5,174.52,Shrubland,0.4439,1
2023-03-20 12:00:00,26.94567,92.91778,5.86,113.47,132.15,29.7,22.22,85.51,2148.94,23.4,167.39,Shrubland,0.2562,1
2023-03-21 00:00:00,27.45246,92.66078,76.67,159.84,253.96,95.42,29.68,88.86,1785.28,7.13,223.89,Agriculture,0.2286,1
2023-03-21 12:00:00,27.76486,93.03258,32.42,67.05,88.03,38.46,31.48,62.23,80.0,55.0,93.37,Forest,0.1882,1
2023-03-22 00:00:00,22.80806,93.0974,36.64,70.93,179.57,39.57,17.89,86.44,1978.38,19.06,89.93,Forest,0.2725,1
2023-03-22 12:00:00,28.87009,92.12835,34.88,100.62,257.08,57.5,20.58,84.24,1977.12,19.07,356.17,Agriculture,0.3418,1
2023-03-23 00:00:00,23.7266,89.25167,44.47,91.57,123.9,56.97,17.84,98.99,336.89,36.63,312.84,Built-up,0.4736,1
2023-03-23 12:00:00,22.28059,89.19381,15.23,51.32,86.01,28.66,16.85,84.4,80.0,46.77,265.59,Agriculture,0.6065,1
2023-03-24 00:00:00,26.16139,97.04637,2.61,64.5,217.81,71.31,26.34,93.39,1053.06,38.52,49.37,Forest,0.1046,1
2023-03-24 12:00:00,24.78192,92.57929,18.41,78.83,155.98,73.8,22.02,85.37,1829.58,10.59,10.88,Forest,0.1411,1
2023-03-25 00:00:00,28.22342,97.05545,41.81,66.37,205.87,84.1,23.26,92.92,2134.32,27.57,63.15,Forest,0.1509,1
2023-03-25 12:00:00,28.06189,89.55398,11.3,65.58,126.46,50.69,25.78,59.51,533.96,2.42,337.58,Forest,0.6169,0
2023-03-26 00:00:00,24.37854,93.26696,62.42,120.22,184.82,64.7,13.71,76.53,2238.79,35.82,293.86,Forest,0.5146,1
2023-03-26 12:00:00,29.14675,89.97331,27.08,69.15,144.77,60.64,29.43,77.49,80.0,5.38,188.31,Built-up,0.3061,1
2023-03-27 00:00:00,24.18188,90.40525,10.3,32.63,249.7,93.0,21.25,76.24,860.77,15.36,348.76,Agriculture,0.233,1
2023-03-27 12:00:00,25.86293,88.28552,33.56,65.93,197.95,5.34,25.66,81.48,828.81,24.96,52.77,Forest,0.4768,1
2023-03-28 00:00:00,23.91974,89.13006,41.3,59.76,100.7,43.82,26.1,86.07,1849.02,30.34,201.29,Forest,0.2865,1
2023-03-28 12:00:00,29.02033,96.71006,43.48,98.83,184.23,63.33,29.85,83.66,1943.9,21.87,65.96,Forest,0.1745,1
2023-03-29 00:00:00,23.23456,91.05456,60.69,69.79,127.3,43.57,22.48,74.7,1720.25,43.23,110.31,Shrubland,0.6804,1
2023-03-29 12:00:00,22.33683,93.77723,7.2,122.29,171.38,53.7,12.38,67.38,222.14,33.68,338.45,Agriculture,0.3227,0
2023-03-30 00:00:00,25.26323,92.41763,60.75,160.44,266.91,62.77,23.29,93.5,1660.7,32.74,312.58,Forest,0.2416,1
2023-03-30 12:00:00,29.44282,91.80429,64.63,123.43,214.8,52.6,24.0,82.53,1430.88,10.25,36.65,Agriculture,0.2517,1
2023-03-31 00:00:00,28.68758,93.05292,9.95,89.79,122.47,60.48,17.83,63.76,80.0,45.39,89.84,Forest,0.5726,1
2023-03-31 12:00:00,27.61456,89.77877,12.03,88.22,163.98,72.01,23.74,75.89,80.0,15.36,214.02,Forest,0.5184,1
2023-04-01 00:00:00,28.68094,97.39174,50.44,98.09,145.91,59.33,21.19,53.56,1774.69,45.85,22.09,Built-up,0.1781,1
2023-04-01 12:00:00,28.70085,95.77392,21.56,58.46,160.13,51.52,16.29,78.07,982.94,49.27,198.03,Forest,0.2812,1
2023-04-02 00:00:00,25.89144,95.04534,71.22,104.86,150.91,63.23,26.36,75.38,264.63,31.15,210.42,Forest,0.6757,1
2023-04-02 12:00:00,24.36947,92.45321,84.85,202.78,267.7,68.03,20.18,70.36,964.69,37.38,104.75,Shrubland,0.3857,1
2023-04-03 00:00:00,27.79009,89.45233,10.29,31.91,82.13,24.43,20.97,98.41,1336.63,2.0,105.52,Forest,0.5056,1
2023-04-03 12:00:00,26.96246,96.74633,14.96,36.96,50.54,69.03,20.69,62.27,1046.15,22.66,82.47,Forest,0.2717,0
2023-04-04 00:00:00,24.80243,91.24318,32.26,116.99,326.92,52.85,29.18,87.53,91.21,38.23,336.84,Forest,0.1579,1
2023-04-04 12:00:00,22.7085,88.47601,2.5,81.81,156.94,83.53,22.8,100.0,2325.61,36.09,139.99,Forest,0.3311,1
2023-04-05 00:00:00,27.60092,91.25283,4.58,39.79,254.6,70.37,23.4,93.6,1752.74,10.36,210.7,Shrubland,0.3286,1
2023-04-05 12:00:00,23.96845,95.54734,13.45,76.83,154.57,83.01,20.8,78.71,882.0,21.48,108.57,Forest,0.5316,1
2023-04-06 00:00:00,29.0261,93.91573,104.66,174.05,294.41,50.34,25.31,61.64,908.19,2.0,252.96,Agriculture,0.2991,1
2023-04-06 12:00:00,23.80728,95.13297,36.07,48.92,92.26,54.9,29.75,58.68,1333.67,29.96,36.52,Agriculture,0.0362,1
2023-04-07 00:00:00,22.92068,95.53954,17.22,121.26,165.53,35.22,26.24,71.0,365.75,2.4,25.79,Forest,0.4838,0
